instance,n,algorithm,epsilon,value,time_ms,peak_mem_kb
f10_l-d_kp_20_879,20,branch_and_bound,NA,1025,5.5314919999887024,14.0703125
f10_l-d_kp_20_879,20,two_approx,NA,1019,3.4811950000062097,10.2509765625
f10_l-d_kp_20_879,20,fptas,0.1,1025,83.3810859999744,339.86328125
f10_l-d_kp_20_879,20,fptas,0.3,1025,28.358860999986746,119.3994140625
f10_l-d_kp_20_879,20,fptas,0.5,1025,16.03707799998233,74.1884765625
f10_l-d_kp_20_879,20,fptas,0.8,1025,10.959185000018579,48.5634765625
f1_l-d_kp_10_269,10,branch_and_bound,NA,295,1.2606989999994767,7.9609375
f1_l-d_kp_10_269,10,two_approx,NA,294,0.9185989999878075,10.0068359375
f1_l-d_kp_10_269,10,fptas,0.1,295,9.672786999999516,54.3759765625
f1_l-d_kp_10_269,10,fptas,0.3,293,4.076694999980646,22.5595703125
f1_l-d_kp_10_269,10,fptas,0.5,293,2.5692959999901177,15.3330078125
f1_l-d_kp_10_269,10,fptas,0.8,293,1.9250980000151685,11.5830078125
f2_l-d_kp_20_878,20,branch_and_bound,NA,1024,2.337296999996852,13.1640625
f2_l-d_kp_20_878,20,two_approx,NA,1018,1.1024980000229334,10.2509765625
f2_l-d_kp_20_878,20,fptas,0.1,1024,83.08688599998959,338.869140625
f2_l-d_kp_20_878,20,fptas,0.3,1024,29.43225900000357,118.7197265625
f2_l-d_kp_20_878,20,fptas,0.5,1024,16.864477000012812,73.3447265625
f2_l-d_kp_20_878,20,fptas,0.8,1024,10.968485000006467,47.5791015625
f3_l-d_kp_4_20,4,branch_and_bound,NA,35,0.7919980000110627,7.625
f3_l-d_kp_4_20,4,two_approx,NA,35,0.9147990000144546,9.8603515625
f3_l-d_kp_4_20,4,fptas,0.1,35,2.567596999995203,14.7861328125
f3_l-d_kp_4_20,4,fptas,0.3,35,1.3474980000012238,8.7626953125
f3_l-d_kp_4_20,4,fptas,0.5,35,1.1596989999986818,7.3642578125
f3_l-d_kp_4_20,4,fptas,0.8,35,1.081598000013173,7.1533203125
f4_l-d_kp_4_11,4,branch_and_bound,NA,23,0.9135990000004313,7.625
f4_l-d_kp_4_11,4,two_approx,NA,16,0.9126989999970192,9.8603515625
